[Pt].[Pt],-195.24359130859375
[Ni].[Os].[Ti].[Ti],-232.78860473632812
I.[Cu],-226.85110473632812
Cl.I,-222.11874389648438
Cl.[Ti],-194.48243713378906
[Cu].[Zn],-169.57928466796875
Cl.Cl.[Pd],-192.9581298828125
O.O.[Ti].[Ti],-165.89077758789062
Cl.Cl.[Zn],-207.9510955810547
[Ni],-222.7884521484375
[Pt].[Pt].[Pt].[Pt],-202.7948455810547
[NaH].[Ru],-282.00579833984375
[Pt].[Pt],-137.84521484375
C.C,-156.83448791503906
[Ni].[Ti],-220.86500549316406
Cl.[Pt],-144.60350036621094
Cl.[Pd].[Pt],-187.8331298828125
[Pt],-145.7165985107422
Cl.[Ti].[Ti],-207.56240844726562
Cl.Cl.[Fe].[Pt],-158.09596252441406
Cl.Cl.[Ti],-198.05392456054688
[Pt],-145.7165985107422
[Ni].[Ti],-247.8665008544922
Cl.[Pt],-244.27687072753906
[Pt],-199.8011016845703
Cl.[Pd].[Pt],-187.8331298828125
O.[Ti],-197.60084533691406
Cl.[Ti],-175.46958923339844
[Pt],-204.874267578125
[Pt].[Pt],-184.98751831054688
Br.Cl,-192.63308715820312
Cl.[Ti],-247.03964233398438
Cl.[Ti].[Zn],-120.17188262939453
Br.I.[Zn],-285.2434387207031
[Ni].[Ti],-269.1337890625
[Pt],-286.82720947265625
Cl.I.[Zn],-204.92425537109375
[NaH].[Ru],-260.4185791015625
[Pt].[Zn],-199.93685913085938
Cl.[Ti],-225.02297973632812
[Pt].[Pt],-210.99624633789062
[Pt].[Pt],-137.84521484375
[Pd].[Pd],-175.281494140625
[Pt].[Pt],-184.98751831054688
Cl.[Pt],-181.63064575195312
[Ni].[Ru],-267.7281188964844
Cl,-150.31927490234375
Cl.I.O,-139.55514526367188
Cl.[Pt].[Ti],-163.1522216796875
[Cu].[Zn].[Zn],-220.70567321777344
[Ti].[Ti].[Zn].[Zn],-288.95147705078125
C,-216.70748901367188
[Ti],-195.74600219726562
Cl.[Ni],-291.68975830078125
Cl.Cl,-193.78164672851562
Cl.Cl.[Ti],-136.00067138671875
I.[Ni],-224.3939666748047
[Pt],-194.733154296875
[Zn],-184.0396728515625
[Ni],-242.95584106445312
[Pt].[Pt].[Pt],-185.94528198242188
Cl.[Pt].[Pt],-192.2684326171875
[Ni],-242.95584106445312
Cl.Cl.[Zn],-207.9510955810547
[Cu].[Ti].[Ti],-189.9898681640625
[Ni].[Ti],-231.53968811035156
[Ti].[Ti].[Ti].[Ti],-168.51766967773438
I.[Pd],-169.800537109375
Cl.Cl,-243.6465606689453
Cl.[Ti].[Zn],-186.68423461914062
[Cu].[Ti],-169.17218017578125
[Pt],-219.59364318847656
[Pt],-194.733154296875
Cl,-268.35186767578125
Cl,-150.31927490234375
Cl.[Fe].[Ti].[Ti].[Ti],-181.09664916992188
Br.Cl.[Ti],-144.56515502929688
Br.[Zn],-172.10812377929688
[Pd].[Pd].[Pt],-177.64749145507812
[Pt],-194.733154296875
Cl.[Ti],-310.60333251953125
O.[Pt],-196.31991577148438
Cl.[Ti],-204.3333740234375
Cl.[Pt],-144.60350036621094
Cl.Cl.[Zn],-187.4775390625
O.[Pt],-176.00608825683594
Cl.Cl,-184.3818359375
Cl.[Ti],-148.06777954101562
Cl.[Zn],-194.34054565429688
Cl.O.[Ti],-142.874267578125
Cl.Cl.[Ti],-198.05392456054688
I.[Zn],-263.8559875488281
[Cu].[Ti].[Ti],-210.72804260253906
Cl.[Zn],-194.34054565429688
O.[Pt],-239.92572021484375
Cl.[Pt],-221.73594665527344
Cl.[Pd].[Pt],-187.8331298828125
[Ni],-217.75250244140625
Cl.[Pt],-244.27687072753906
O.O.[Pt].[Ti],-207.51593017578125
Cl.[Ni],-149.98422241210938
Br.Br,-139.87890625
Br.Cl,-287.3321838378906
Cl.[Ti],-247.03964233398438
Cl.Cl.[Ti],-198.05392456054688
[Pt],-204.874267578125
Cl.Cl.Cl,-208.07015991210938
[Pt].[Pt],-175.402099609375
Br.Br.Cl.Cl,-154.748779296875
Cl.[Ti],-214.45681762695312
Br.Br.[Ti].[Zn],-196.69857788085938
[Fe],-195.10940551757812
O.[Pt].[Pt].[Pt].[Pt],-162.1141357421875
Cl.[Zn],-268.2915344238281
[Ni].[Ti],-247.8665008544922
I.[Cu],-176.95205688476562
[Ni].[Ti],-166.74256896972656
Cl.[Ti],-204.3333740234375
O.[Cu].[Ti],-197.1207275390625
Cl.Cl.O.[Ti],-211.73818969726562
Cl.Cl.[Ti].[Zn],-181.29733276367188
Cl.Cl,-147.56588745117188
O.[Pt].[Ti],-164.3849334716797
Cl.Cl,-222.24098205566406
[Zn],-221.29550170898438
[Ni].[Pt].[Ti].[Zn],-287.24530029296875
O.[Pd],-180.78338623046875
Cl.[Cu],-179.40444946289062
[Cu],-194.44371032714844
[Pt].[Ti],-306.2692565917969
Cl.[Zn].[Zn],-145.61587524414062
[Pt].[Pt],-156.38623046875
C,-216.70748901367188
C,-283.0780029296875
Cl,-221.1800994873047
[Ni].[Ti],-205.5174560546875
O.[Pt],-211.78135681152344
[Ni].[Pt],-288.14300537109375
Cl,-197.21023559570312
Cl.[Cu],-179.40444946289062
O.[Pt],-185.93019104003906
Cl.[Pt],-162.9453125
Cl,-178.05142211914062
O.[Pt],-191.13449096679688
[Cu],-203.61264038085938
[Ni].[Ti],-185.80409240722656
C,-142.69155883789062
O.O.[Pd],-184.74871826171875
Cl.[Pt].[Ti].[Ti],-156.28976440429688
C,-283.0780029296875
Cl.Cl.[Ni],-209.369873046875
CC.Cl.Cl.Cl.ClCl.O.[Ti],-155.73773193359375
